,c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
768,375,138677,3,768
769,375,138678,4,769
770,375,139568,5,770
771,376,385,1,771
772,376,138674,2,772
773,376,138675,3,773
774,376,138676,4,774
775,376,139477,5,775
776,377,249,1,776
777,378,148,1,777
778,379,252,1,778
779,380,251,1,779
780,381,250,1,780
781,382,311,1,781
782,383,71,1,782
783,384,370,1,783
784,385,150,1,784
785,386,277,1,785
786,387,482,1,786
787,388,361,1,787
788,389,295,1,788
789,390,115,1,789
790,391,305,1,790
791,391,138375,2,791
792,391,138376,3,792
793,391,138377,4,793
794,392,319,1,794
795,393,309,1,795
796,393,138378,2,796
797,393,139556,3,797
798,393,139879,4,798
799,393,140282,5,799
800,393,140310,6,800
801,393,140420,7,801
802,393,140430,8,802
803,394,2,1,803
804,395,390,1,804
805,395,139489,2,805
806,396,76,1,806
807,397,19,1,807
808,398,312,1,808
809,399,484,1,809
810,400,253,1,810
811,401,91,1,811
812,402,300,1,812
813,403,483,1,813
814,404,254,1,814
815,405,419,1,815
816,406,256,1,816
817,407,257,1,817
818,408,255,1,818
819,409,327,1,819
820,409,139434,2,820
821,410,258,1,821
822,411,134,1,822
823,412,413,1,823
824,412,139438,2,824
825,412,139465,3,825
826,412,139597,4,826
827,412,139666,5,827
828,413,35,1,828
829,414,329,1,829
830,415,386,1,830
831,416,485,1,831
832,416,138926,2,832
833,416,138927,3,833
834,416,139445,4,834
835,416,139993,5,835
836,416,140086,6,836
837,416,140216,7,837
838,417,280,1,838
839,418,486,1,839
840,419,393,1,840
841,419,398,2,841
842,420,259,1,842
843,421,85,1,843
844,422,151,1,844
845,423,443,1,845
846,423,139243,2,846
847,423,139244,3,847
848,423,139245,4,848
849,423,139625,5,849
850,423,139709,6,850
851,423,139964,7,851
852,423,140009,8,852
853,423,140181,9,853
854,424,357,1,854
855,424,139241,2,855
856,424,139242,3,856
857,424,139464,4,857
858,424,140049,5,858
859,425,437,1,859
860,425,140272,2,860
861,426,152,1,861
862,427,260,1,862
863,428,41,1,863
864,428,73,2,864
865,429,432,1,865
866,430,88,1,866
867,431,110,1,867
868,432,26,1,868
869,433,140052,1,869
870,434,139400,1,870
871,435,140429,1,871
872,436,138307,1,872
873,437,138308,1,873
874,438,138309,1,874
875,438,138310,2,875
876,438,138311,3,876
877,439,139424,1,877
878,440,140176,1,878
879,441,139722,1,879
880,442,139877,1,880
881,442,140490,2,881
882,443,138312,1,882
883,443,140495,2,883
884,444,140085,1,884
885,445,139640,1,885
886,446,138313,1,886
887,447,139585,1,887
888,448,138315,1,888
889,449,140533,1,889
890,450,138316,1,890
891,450,138317,2,891
892,451,138318,1,892
893,452,138319,1,893
894,453,138320,1,894
895,454,138321,1,895
896,455,140174,1,896
897,456,140020,1,897
898,457,138332,1,898
899,458,138333,1,899
900,458,140015,2,900
901,458,140524,3,901
902,459,140513,1,902
903,460,138334,1,903
904,461,138335,1,904
905,461,138336,2,905
906,461,140504,3,906
907,462,138337,1,907
908,463,138338,1,908
909,464,139550,1,909
910,465,138340,1,910
911,466,140198,1,911
912,467,139600,1,912
913,468,139967,1,913
914,469,140510,1,914
915,470,139940,1,915
916,471,138349,1,916
917,472,138350,1,917
918,473,138351,1,918
919,474,139999,1,919
920,475,138352,1,920
921,475,138353,2,921
922,475,138354,3,922
923,475,139707,4,923
924,475,139755,5,924
925,475,140455,6,925
926,476,140340,1,926
927,477,139661,1,927
928,478,139929,1,928
929,479,139860,1,929
930,480,138355,1,930
931,481,138356,1,931
932,482,139880,1,932
933,483,140122,1,933
934,484,138357,1,934
935,485,139796,1,935
936,486,140110,1,936
937,487,138358,1,937
938,487,140026,2,938
939,488,139766,1,939
940,489,139821,1,940
941,490,139859,1,941
942,491,140537,1,942
943,492,140194,1,943
944,492,140442,2,944
945,493,138359,1,945
946,494,138360,1,946
947,494,140534,2,947
948,495,138361,1,948
949,496,140069,1,949
950,497,138363,1,950
951,498,138364,1,951
952,499,138365,1,952
953,500,140319,1,953
954,501,138362,1,954
955,502,139998,1,955
956,502,140046,2,956
957,503,139690,1,957
958,504,139398,1,958
959,504,139987,2,959
960,505,138366,1,960
961,506,140538,1,961
962,507,139741,1,962
963,508,140285,1,963
964,509,138367,1,964
965,509,138368,2,965
966,509,138369,3,966
967,510,140269,1,967
968,510,140431,2,968
969,510,140482,3,969
970,510,140491,4,970
971,510,140502,5,971
972,511,139533,1,972
973,512,138371,1,973
974,513,138372,1,974
975,514,138373,1,975
976,515,138374,1,976
977,515,139423,2,977
978,516,138370,1,978
979,517,138393,1,979
980,518,138394,1,980
981,519,138395,1,981
982,520,138396,1,982
983,521,138397,1,983
984,522,138595,1,984
985,523,138779,1,985
986,524,139750,1,986
987,525,138398,1,987
988,526,138399,1,988
989,527,140342,1,989
990,528,138586,1,990
991,529,138584,1,991
992,529,138585,2,992
993,529,139534,3,993
994,529,139840,4,994
995,529,140267,5,995
996,530,138587,1,996
997,530,139382,2,997
998,531,139572,1,998
999,531,139626,2,999
1000,531,140018,3,1000
1001,532,139433,1,1001
1002,533,138588,1,1002
1003,533,138589,2,1003
1004,534,138583,1,1004
1005,535,139684,1,1005
1006,536,139798,1,1006
1007,536,139988,2,1007
1008,537,138590,1,1008
1009,538,138400,1,1009
1010,539,140264,1,1010
1011,540,139762,1,1011
1012,541,138401,1,1012
