index,c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
299,425,011100300,150803,0,0,0,0,0,0
300,426,011100300,150803,0,0,0,0,0,0
301,427,011100300,150803,0,0,0,0,0,0
302,428,011100300,150803,0,0,0,0,0,0
303,429,011100300,150803,0,0,0,0,0,0
304,430,011030400,15030104,0,0,0,0,0,0
305,430,011100300,150803,0,0,0,0,0,0
306,431,9999,1599,0,0,0,0,0,0
307,434,011040100,15030201,0,0,0,0,0,0
308,437,011030600,15030106,0,0,0,0,0,0
309,438,9999,1599,0,0,0,0,0,0
310,439,011090101,15070101,0,0,0,0,0,0
311,442,011010700,150107,0,0,0,0,0,0
312,444,9999,1599,0,0,0,0,0,0
313,446,011080500,15060205,0,0,0,0,0,0
314,447,011090301,15070301,0,0,0,0,0,0
315,451,011110200,150902,0,0,0,0,0,0
316,452,011110200,150902,0,0,0,0,0,0
317,456,011110200,150902,0,0,0,0,0,0
318,457,011110200,150902,0,0,0,0,0,0
319,460,011080200,15060202,0,0,0,0,0,0
320,460,011110200,150902,0,0,0,0,0,0
321,461,011080200,15060202,0,0,0,0,0,0
322,461,011110200,150902,0,0,0,0,0,0
323,463,011080200,15060202,0,0,0,0,0,0
324,463,011110200,150902,0,0,0,0,0,0
325,465,011080400,15060204,0,0,0,0,0,0
326,465,011110200,150902,0,0,0,0,0,0
327,468,011080400,15060204,0,0,0,0,0,0
328,468,011110200,150902,0,0,0,0,0,0
329,470,011110200,150902,0,0,0,0,0,0
330,472,011080300,15060203,0,0,0,0,0,0
331,472,011090202,15070202,0,0,0,0,0,0
332,473,011080300,15060203,0,0,0,0,0,0
333,473,011090202,15070202,0,0,0,0,0,0
334,474,011090101,15070101,0,0,0,0,0,0
335,475,011090201,15070201,0,0,0,0,0,0
336,476,011090201,15070201,0,0,0,0,0,0
337,477,011040101,1503020101,0,0,0,0,0,0
338,478,011060900,150509,0,0,0,0,0,0
339,479,011030900,15030109,0,0,0,0,0,0
340,480,011040700,15030207,0,0,0,0,0,0
341,481,011100100,150801,0,0,0,0,0,0
342,484,011040712,1503020712,0,0,0,0,0,0
343,485,011080300,15060203,0,0,0,0,0,0
344,485,011090202,15070202,0,0,0,0,0,0
345,486,011100100,150801,0,0,0,0,0,0
346,487,011080100,15060201,0,0,0,0,0,0
347,488,011080100,15060201,0,0,0,0,0,0
348,489,011090101,15070101,0,0,0,0,0,0
349,490,011100100,150801,0,0,0,0,0,0
350,491,011100100,150801,0,0,0,0,0,0
351,492,011100100,150801,0,0,0,0,0,0
352,493,011100100,150801,0,0,0,0,0,0
353,494,011100100,150801,0,0,0,0,0,0
354,495,011100100,150801,0,0,0,0,0,0
355,496,011100100,150801,0,0,0,0,0,0
356,497,011030300,15030103,0,0,0,0,0,0
357,498,011030300,15030103,0,0,0,0,0,0
358,499,011050400,150404,0,0,0,0,0,0
359,500,011050400,150404,0,0,0,0,0,0
360,502,011040304,1503020304,0,0,0,0,0,0
361,504,9999,1599,0,0,0,0,0,0
362,505,9999,1599,0,0,0,0,0,0
363,507,011040707,1503020707,0,0,0,0,0,0
364,508,011040303,1503020303,0,0,0,0,0,0
365,509,011040303,1503020303,0,0,0,0,0,0
366,510,011040303,1503020303,0,0,0,0,0,0
367,511,011030400,15030104,0,0,0,0,0,0
368,512,011040710,1503020710,0,0,0,0,0,0
369,513,011040800,15030208,0,0,0,0,0,0
370,514,011040101,1503020101,0,0,0,0,0,0
371,515,011030300,15030103,0,0,0,0,0,0
372,517,011040301,1503020301,0,0,0,0,0,0
373,518,011040301,1503020301,0,0,0,0,0,0
374,520,011040301,1503020301,0,0,0,0,0,0
375,521,011030400,15030104,0,0,0,0,0,0
376,522,9999,1599,0,0,0,0,0,0
377,523,011040100,15030201,0,0,0,0,0,0
378,524,011010600,150106,0,0,0,0,0,0
379,524,011040102,1503020102,0,0,0,0,0,0
380,526,9999,1599,0,0,0,0,0,0
381,530,011030300,15030103,0,0,0,0,0,0
382,532,011030300,15030103,0,0,0,0,0,0
383,533,011040300,15030203,0,0,0,0,0,0
384,534,011040300,15030203,0,0,0,0,0,0
385,535,011040300,15030203,0,0,0,0,0,0
386,536,011031200,15030112,0,0,0,0,0,0
387,537,011031200,15030112,0,0,0,0,0,0
388,538,011031200,15030112,0,0,0,0,0,0
389,539,011080400,15060204,0,0,0,0,0,0
390,539,011090202,15070202,0,0,0,0,0,0
391,540,011040710,1503020710,0,0,0,0,0,0
392,541,011040710,1503020710,0,0,0,0,0,0
393,542,011040101,1503020101,0,0,0,0,0,0
394,544,011031300,15030113,0,0,0,0,0,0
395,545,011031300,15030113,0,0,0,0,0,0
396,546,011040400,15030204,0,0,0,0,0,0
397,547,011040400,15030204,0,0,0,0,0,0
398,549,011040400,15030204,0,0,0,0,0,0
399,550,011040400,15030204,0,0,0,0,0,0
400,551,011040400,15030204,0,0,0,0,0,0
401,552,011040400,15030204,0,0,0,0,0,0
402,553,011030300,15030103,0,0,0,0,0,0
403,554,011030300,15030103,0,0,0,0,0,0
404,555,9999,1599,0,0,0,0,0,0
405,556,9999,1599,0,0,0,0,0,0
406,558,9999,1599,0,0,0,0,0,0
407,559,011040709,1503020709,0,0,0,0,0,0
408,561,011090305,15070305,0,0,0,0,0,0
409,563,011090305,15070305,0,0,0,0,0,0
410,566,9999,1599,0,0,0,0,0,0
411,567,9999,1599,0,0,0,0,0,0
412,570,011080100,15060201,0,0,0,0,0,0
413,570,011080200,15060202,0,0,0,0,0,0
414,572,9999,1599,0,0,0,0,0,0
415,573,9999,1599,0,0,0,0,0,0
416,575,011020300,150203,0,0,0,0,0,0
417,576,9999,1599,0,0,0,0,0,0
418,579,011100200,150802,0,0,0,0,0,0
419,580,011040101,1503020101,0,0,0,0,0,0
420,582,011040102,1503020102,0,0,0,0,0,0
421,584,011030300,15030103,0,0,0,0,0,0
422,586,9999,1599,0,0,0,0,0,0
423,587,011080300,15060203,0,0,0,0,0,0
424,588,9999,1599,0,0,0,0,0,0
425,589,9999,1599,0,0,0,0,0,0
426,590,9999,1599,0,0,0,0,0,0
427,591,011100200,150802,0,0,0,0,0,0
428,592,9999,1599,0,0,0,0,0,0
429,593,011040400,15030204,0,0,0,0,0,0
430,594,9999,1599,0,0,0,0,0,0
431,595,9999,1599,0,0,0,0,0,0
432,596,9999,1599,0,0,0,0,0,0
433,597,011031100,15030111,0,0,0,0,0,0
434,598,011090101,15070101,0,0,0,0,0,0
435,599,011090305,15070305,0,0,0,0,0,0
436,600,011090305,15070305,0,0,0,0,0,0
437,601,011090305,15070305,0,0,0,0,0,0
438,603,9999,1599,0,0,0,0,0,0
439,604,011030100,15030101,0,0,0,0,0,0
440,606,011031300,15030113,0,0,0,0,0,0
441,607,9999,1599,0,0,0,0,0,0
442,608,011030100,15030101,0,0,0,0,0,0
443,609,011040100,15030201,0,0,0,0,0,0
444,610,011030100,15030101,0,0,0,0,0,0
445,611,011030500,15030105,0,0,0,0,0,0
446,613,9999,1599,0,0,0,0,0,0
447,615,011040600,15030206,0,0,0,0,0,0
448,616,011100200,150802,0,0,0,0,0,0
449,617,011040600,15030206,0,0,0,0,0,0
450,618,011100200,150802,0,0,0,0,0,0
451,619,011100200,150802,0,0,0,0,0,0
452,620,011040600,15030206,0,0,0,0,0,0
453,621,011040600,15030206,0,0,0,0,0,0
454,622,9999,1599,0,0,0,0,0,0
455,623,011040710,1503020710,0,0,0,0,0,0
456,624,011040103,1503020103,0,0,0,0,0,0
457,626,011040103,1503020103,0,0,0,0,0,0
