index,c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date,tts_sysno
88,113105,147,251,20,,,,,,,,,9599.0,14050,,元代釋古潭113105居寓慧日寺,,,,,71.0
89,113105,242,464,20,,,,,,,,,9599.0,14050,,元代釋古潭113105居居能仁寺,,,,,72.0
90,113107,205,379,20,,,,,,,,,9599.0,14052,,元代釋可授113107居,,,,,73.0
91,113107,207,381,20,,,,,,,,,9599.0,14052,,元代釋可授113107居,,,,,74.0
92,113107,412,873,20,,,,,,,,,9599.0,14052,,元代釋可授113107居,,,,,75.0
93,113110,31,62,20,,,,,,,,,9599.0,14055,,元代釋可觀113110居杭州褒忠衍福寺,,,,,76.0
94,113119,81,151,20,,,,,,,,,9599.0,14064,,元代釋正印113119居澱山寺,,,,,77.0
95,113120,311,670,20,,,,,,,,,9599.0,14065,,元代釋正因113120居杭州殊勝寺,,,,,78.0
96,113122,20,24,20,,,,,,,,,9599.0,14067,,元代釋正珪113122居池州路報恩光孝禪寺,,,,,79.0
97,113122,405,865,20,,,,,,,,,9599.0,14067,,元代釋正珪113122居宛陵章教寺,,,,,80.0
98,113128,242,462,20,,,,,,,,,9599.0,14073,,元代釋永珍113128居常熟能仁寺,,,,,81.0
99,113128,333,730,20,,,,,,,,,9599.0,14073,,元代釋永珍113128居平江萬壽寺,,,,,82.0
100,113129,50,97,20,,,,,,,,,9599.0,14074,,元代釋永真113129居吳江崇福永樂寺,,,,,83.0
101,113131,203,376,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9599.0,14076,,元代釋永寧113131居宜興龍池寺,,,,,84.0
102,113134,61,120,20,,,,,,,,,9599.0,14079,,元代釋玄堅113134居雲南大德寺,,,,,85.0
103,113135,106,182,20,,,,,,,,,9599.0,14080,,元代釋玄鑑113135居雲南佛嚴寺,,,,,86.0
104,113139,159,271,20,,,,,,,,,9599.0,14084,,元代釋夷簡113139居杭州淨慈寺; Temple ID 139437 Location: 錢塘縣南屏山; Founding: 吴越时; Other: 初名慧日永明院，南宋时代遭火、复兴，康熙三十八今名,,,,,87.0
105,113139,322,682,20,,,,,,,,,9599.0,14084,,元代釋夷簡113139居南京天界寺,,,,,88.0
106,113140,387,836,20,,,,,,,,,9599.0,14085,,元代釋如山113140居湧泉寺,,,,,89.0
107,113141,325,687,20,,,,,,,,,9599.0,14086,,元代釋如川113141居天寧禪寺,,,,,90.0
108,113142,234,449,20,,,,,,,,,9599.0,14087,,元代釋如异113142居餘姚靈源山明真寺,,,,,91.0
109,113143,193,364,20,,,,,,,,,9599.0,14088,,元代釋如珙113143居雁山靈巖禪寺,,,,,92.0
110,113143,403,863,20,,,,,,,,,9599.0,14088,,元代釋如珙113143居育王廣利禪寺,,,,,93.0
111,113144,328,723,20,,,,,,,,,9599.0,14089,,元代釋如砥113144居天童寺,,,,,94.0
112,113145,182,312,20,,,,,,,,,9599.0,14090,,元代釋如照113145居開元寺; Temple ID 140109 Location: 晉江縣; Founding: 唐代; Other: 初名莲花寺,,,,,95.0
113,113149,213,411,20,,,,,,,,,9599.0,14094,,元代釋守忠113149居金陵龍翔寺,,,,,96.0
114,113151,416,881,20,,,,,,,,,9599.0,14096,,元代釋守衜113151居治平寺,,,,,97.0
115,113153,333,729,20,,,,,,,,,9599.0,14098,,元代釋自如113153居浙江萬壽寺,,,,,98.0
116,113155,101,174,20,,,,,,,,,9599.0,14100,,元代釋自恢113155居海鹽之法喜寺,,,,,99.0
117,113156,210,389,20,,,,,,,,,9599.0,14101,,元代釋自悅113156居餘姚龍泉寺,,,,,100.0
118,113157,419,890,20,,,,,,,,,9599.0,14102,,元代釋自閒113157居金華智者寺; Temple ID 139541 Location: 金華縣西北; Other: 梁智者道场，金华第一刹,,,,,101.0
119,113159,333,728,20,,,,,,,,,9599.0,14104,,元代釋至仁113159居蘇州萬壽寺,,,,,102.0
120,113160,68,129,20,,,,,,,,,9599.0,14105,,元代釋至明113160居四明大梅寺,,,,,103.0
121,113163,112,188,20,,,,,,,,,9599.0,14108,,元代釋至訥113163居崑山福嚴寺,,,,,104.0
122,113165,145,239,20,,,,,,,,,9599.0,14110,,元代釋至溫113165居上都華嚴寺,,,,,105.0
123,113169,78,140,20,,,,,,,,,9599.0,14114,,元代釋行全113169居兗州布金山大雲寺,,,,,106.0
124,113170,49,87,20,,,,,,,,,9599.0,14116,,元代釋行英113170居處州崇福寺,,,,,107.0
125,113171,59,109,20,,,,,,,,,9599.0,14117,,元代釋行修113171居杭州慈修護聖禪院,,,,,108.0
126,113172,274,601,20,,,,,,,,,9599.0,14118,,元代釋行滿113172居仰山棲隱寺,,,,,109.0
127,113173,423,895,20,,,,,,,,,9599.0,14119,,元代釋行端113173居湖州資福寺,,,,,110.0
128,113174,273,600,20,,,,,,,,,9599.0,14120,,元代釋行魁113174居居長洲陳湖 磧沙寺,,,,,111.0
129,113175,399,859,20,,,,,,,,,9599.0,14121,,元代釋行興113175居雲 居庵,,,,,112.0
130,113179,310,668,20,,,,,,,,,9599.0,14125,,元代釋克新113179居嘉興水西寺,,,,,113.0
131,113180,24,47,20,,,,,,,,,9599.0,14126,,元代釋妙文113180居大都寶集寺,,,,,114.0
132,113181,163,283,20,,,,,,,,,9599.0,14127,,元代釋妙用113181居景德院,,,,,115.0
133,113183,182,311,20,,,,,,,,,9599.0,14129,,元代釋妙恩113183居泉州開元寺; Temple ID 140109 Location: 晉江縣; Founding: 唐代; Other: 初名莲花寺,,,,,116.0
134,113184,166,292,20,,,,,,,,,9599.0,14130,,元代釋妙高113184居杭州徑山寺,,,,,117.0
135,113188,32,63,20,,,,,,,,,9599.0,14135,,元代釋妙聲113188居本郡北禪寺; Temple ID 138314 Location: 長洲縣治東北; Founding: 晋载顒舍宅,,,,,118.0
136,113190,314,673,20,,,,,,,,,9599.0,14137,,元代釋希陵113190居袁州大仰山太平興國寺,,,,,119.0
137,113191,154,264,20,,,,,,,,,9599.0,14138,,元代釋希顏113191居玉峰薦嚴寺,,,,,120.0
138,113194,123,204,20,,,,,,,,,9599.0,14141,,元代釋志誠113194居大都廣化寺,,,,,121.0
139,113197,157,268,20,,,,,,,,,9599.0,14144,,元代釋戒度113197居居餘姚極樂 寺,,,,,122.0
140,113204,171,298,20,,,,,,,,,9599.0,14151,,元代釋並學113204居杭州淨性寺,,,,,123.0
141,113205,86,156,20,,,,,,,,,9599.0,14152,,元代釋來復113205居慈溪之定水院,,,,,124.0
142,113206,52,99,20,,,,,,,,,9599.0,14153,,元代釋宗明113206居隨州崇寧萬壽寺,,,,,125.0
