,tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
211,666.0,2640,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
212,671.0,2645,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
213,672.0,2646,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
214,675.0,2649,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
215,676.0,2650,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
216,677.0,2651,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
217,678.0,2652,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
218,679.0,2653,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
219,680.0,2654,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
220,681.0,2655,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
221,682.0,2656,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
222,683.0,2657,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
223,684.0,2658,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
224,685.0,2659,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
225,686.0,2660,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
226,688.0,2662,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
227,690.0,2664,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
228,691.0,2665,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
229,692.0,2666,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
230,693.0,2667,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
231,694.0,2668,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
232,699.0,2673,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
233,700.0,2674,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
234,702.0,2676,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
235,707.0,2681,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
236,708.0,2682,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
237,711.0,2685,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
238,713.0,2687,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
239,716.0,2688,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
240,717.0,2689,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
241,718.0,2690,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
242,719.0,2691,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
243,720.0,2692,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
244,721.0,2693,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
245,724.0,2696,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
246,739.0,2711,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
247,741.0,2712,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
248,749.0,2719,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
249,752.0,2722,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
250,753.0,2723,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
251,754.0,2724,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
252,755.0,2725,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
253,759.0,2729,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
254,764.0,2734,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
255,765.0,2735,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
256,774.0,2744,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
257,777.0,2748,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
258,781.0,2752,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
259,782.0,2753,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
260,783.0,2754,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
261,784.0,2755,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
262,785.0,2756,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
263,787.0,2758,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
264,791.0,2763,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
265,792.0,2764,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
266,796.0,2771,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
267,799.0,2773,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
268,801.0,2775,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
269,802.0,2776,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
270,803.0,2777,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
271,805.0,2779,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
272,806.0,2780,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
273,807.0,2781,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
274,808.0,2782,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
275,809.0,2783,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
276,817.0,2791,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
277,820.0,2794,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
278,822.0,2796,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
279,823.0,2797,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
280,824.0,2798,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
281,825.0,2799,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
282,826.0,2800,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
