	汉字	字频	累计字频
471	吃	1240890	1678386921
472	觉	1229016	1679615937
473	站	1228213	1680844150
474	牌	1227697	1682071847
475	引	1225526	1683297373
476	助	1225414	1684522787
477	态	1224224	1685747011
478	排	1223446	1686970457
479	治	1222497	1688192954
480	致	1215716	1689408670
481	住	1211978	1690620648
482	置	1207952	1691828600
483	王	1203122	1693031722
484	它	1199644	1694231366
485	五	1195854	1695427220
486	验	1191438	1696618658
487	随	1183944	1697802602
488	益	1183233	1698985835
489	额	1178790	1700164625
490	米	1175450	1701340075
491	军	1173994	1702514069
492	互	1169687	1703683756
493	仅	1166526	1704850282
494	士	1165916	1706016198
495	控	1165891	1707182089
496	段	1164766	1708346855
497	男	1143135	1709489990
498	责	1136563	1710626553
499	策	1136541	1711763094
500	必	1133007	1712896101
501	除	1127326	1714023427
502	售	1126231	1715149658
503	便	1120182	1716269840
504	店	1118612	1717388452
505	究	1118425	1718506877
506	拉	1116261	1719623138
507	施	1113817	1720736955
508	票	1113613	1721850568
509	钱	1110764	1722961332
510	响	1105913	1724067245
511	往	1105510	1725172755
512	监	1104539	1726277294
513	均	1095162	1727372456
514	江	1093235	1728465691
515	克	1091557	1729557248
516	干	1091310	1730648558
517	器	1089652	1731738210
518	适	1087270	1732825480
519	病	1084278	1733909758
520	连	1081533	1734991291
521	望	1081109	1736072400
522	算	1080802	1737153202
523	降	1077424	1738230626
524	委	1076135	1739306761
525	划	1075251	1740382012
526	满	1073296	1741455308
527	星	1072847	1742528155
528	职	1067698	1743595853
529	极	1066478	1744662331
530	采	1059202	1745721533
531	德	1056022	1746777555
532	边	1053347	1747830902
533	尔	1052933	1748883835
534	演	1049297	1749933132
535	村	1047140	1750980272
536	积	1046106	1752026378
537	健	1044957	1753071335
538	防	1044397	1754115732
539	境	1043272	1755159004
540	汽	1041392	1756200396
541	像	1040998	1757241394
542	景	1040975	1758282369
543	素	1040495	1759322864
544	象	1039625	1760362489
545	百	1035039	1761397528
546	双	1034112	1762431640
547	历	1033375	1763465015
548	思	1030045	1764495060
549	言	1025769	1765520829
550	英	1022490	1766543319
551	火	1018483	1767561802
552	券	1017367	1768579169
553	许	1012096	1769591265
554	盘	1011151	1770602416
555	离	1006470	1771608886
556	断	1004294	1772613180
557	亚	1003954	1773617134
558	失	997120	1774614254
559	黄	996144	1775610398
560	底	993301	1776603699
561	字	989941	1777593640
562	护	989651	1778583291
563	眼	984312	1779567603
564	林	975913	1780543516
565	击	971674	1781515190
566	评	968821	1782484011
567	够	966190	1783450201
568	园	963159	1784413360
569	范	960500	1785373860
570	青	960059	1786333919
571	某	954580	1787288499
572	终	947865	1788236364
573	季	947614	1789183978
574	阳	945346	1790129324
575	警	944985	1791074309
576	属	944902	1792019211
577	简	943401	1792962612
578	板	941512	1793904124
579	富	939949	1794844073
580	农	938140	1795782213
581	读	937971	1796720184
582	依	937371	1797657555
583	落	936145	1798593700
584	细	933352	1799527052
585	群	931270	1800458322
586	择	928761	1801387083
587	货	928064	1802315147
588	李	922109	1803237256
589	早	921082	1804158338
590	负	918106	1805076444
591	味	913930	1805990374
592	减	909761	1806900135
593	轻	909452	1807809587
594	喜	908853	1808718440
595	欢	906728	1809625168
596	却	903408	1810528576
597	智	903258	1811431834
598	测	901639	1812333473
599	域	901385	1813234858
600	免	900765	1814135623
601	压	898818	1815034441
602	半	897315	1815931756
603	妈	892254	1816824010
604	留	891629	1817715639
605	充	889540	1818605179
606	远	885699	1819490878
607	例	884790	1820375668
608	温	881754	1821257422
609	旅	878804	1822136226
